Time,AverageCPU,Sessions,Pheromone
13260.01,2,0.255,49.5,67.96320000000105
13320.01,2,0.4,50.5,66.96320000000105
13380.01,2,0.48,51.0,67.96320000000105
13440.01,2,0.605,51.5,66.96320000000105
13500.01,2,0.6000000000000001,50.5,67.76960000000108
13560.01,2,0.92,52.0,66.76960000000108
13620.01,2,0.725,51.5,67.0608000000011
13680.01,2,0.7250000000000001,51.5,66.0608000000011
13740.01,2,0.775,52.5,66.16800000000111
13800.01,2,0.96,53.0,65.16800000000111
13860.01,2,0.97,54.5,64.48480000000114
13920.01,2,0.575,55.0,63.484800000001144
13980.01,2,0.895,56.5,63.10880000000116
14040.01,2,0.73,57.5,62.10880000000116
14100.01,2,0.6000000000000001,58.0,62.84880000000117
14160.01,2,0.73,60.5,61.84880000000117
14220.01,2,0.78,62.5,61.932000000001196
14280.01,2,0.915,64.5,60.932000000001196
14340.01,2,1.0,67.0,60.13200000000121
14400.01,2,0.995,67.5,59.13200000000121
14460.01,2,1.0,70.0,58.33200000000123
14520.01,2,1.0,71.5,57.33200000000123
14580.01,2,1.0,72.5,56.53200000000125
14640.01,2,1.0,74.5,55.53200000000125
14700.01,2,0.8,75.5,55.53840000000127
14760.01,2,1.0,77.5,54.53840000000127
14820.01,2,1.0,78.5,53.73840000000129
14880.01,2,0.9450000000000001,80.0,52.73840000000129
14940.01,2,0.56,80.0,53.496800000001315
15000.01,2,0.755,82.0,52.496800000001315
15060.01,2,0.87,83.0,52.22480000000133
15120.01,2,1.0,83.5,51.22480000000133
15180.01,2,1.0,87.0,50.424800000001355
15240.01,2,1.0,88.0,49.424800000001355
15300.01,2,1.0,89.0,48.62480000000137
15360.01,2,0.9550000000000001,90.0,47.62480000000137
15420.01,2,0.675,92.0,47.92400000000139
15480.01,2,0.545,92.5,46.92400000000139
15540.01,2,0.78,94.0,47.00400000000141
15600.01,2,0.6499999999999999,93.0,46.00400000000141
15660.01,2,0.6,93.0,46.61360000000143
15720.01,2,0.6599999999999999,94.5,45.61360000000143
15780.01,2,1.0,96.0,44.815200000001454
15840.01,2,1.0,96.5,43.815200000001454
15900.01,2,1.0,98.5,43.01520000000147
15960.01,2,0.845,100.0,42.01520000000147
16020.01,2,1.0,102.5,41.215200000001495
16080.01,2,1.0,103.0,40.215200000001495
16140.01,2,0.95,104.5,39.62640000000152
16200.01,2,0.96,107.5,38.62640000000152
16260.01,2,1.0,109.0,37.82640000000154
16320.01,2,1.0,109.5,36.82640000000154
16380.01,2,0.52,110.5,37.748000000001554
16440.01,2,0.29500000000000004,111.5,36.748000000001554
16500.01,2,0.735,113.5,37.02000000000157
16560.01,2,1.0,116.0,36.02000000000157
16620.01,2,1.0,117.5,35.22000000000159
16680.01,2,1.0,119.5,34.22000000000159
16740.01,2,1.0,121.5,33.42000000000161
16800.01,2,0.76,122.5,32.42000000000161
16860.01,2,0.8400000000000001,123.0,32.266400000001624
16920.01,2,0.815,124.5,31.266400000001624
16980.01,2,0.58,125.0,31.946400000001642
17040.01,2,0.6,125.5,30.946400000001642
17100.01,2,0.79,127.0,30.996000000001658
17160.01,2,1.0,129.5,29.996000000001658
17220.01,2,1.0,131.5,29.196000000001675
17280.01,2,1.0,135.0,28.196000000001675
17340.01,2,1.0,136.0,27.396000000001692
17400.01,2,1.0,138.5,26.396000000001692
17460.01,2,1.0,139.5,25.59600000000171
17520.01,2,0.86,141.0,24.59600000000171
17580.01,2,1.0,142.5,23.80400000000173
17640.01,2,0.9650000000000001,144.0,22.80400000000173
17700.01,2,1.0,147.5,22.004000000001746
17700.01,2,1.0,147.5,22.004000000001746
17700.01,0,NaN,NaN,NaN
17820.01,4,0.5449999999999999,75.75,63.3508
17880.01,3,0.6466666666666666,76.0,62.3508
17940.01,4,0.44000000000000006,76.0,63.850800000000014
18000.01,4,0.2,75.0,62.850800000000014
18060.01,4,0.4025,76.25,63.980800000000016
18120.01,4,0.495,76.75,62.980800000000016
18180.01,4,0.6174999999999999,77.25,63.57360000000002
18240.01,4,0.44,76.75,62.57360000000002
18300.01,4,0.43500000000000005,76.0,63.72960000000004
18360.01,4,0.36250000000000004,75.75,62.72960000000004
18420.01,4,0.4,76.25,63.989600000000046
18480.01,4,0.44,76.75,62.989600000000046
18540.01,4,0.645,77.5,63.55160000000004
18600.01,4,0.48,76.5,62.55160000000004
18660.01,4,0.37,76.0,63.94160000000005
18720.01,4,0.32,75.5,62.94160000000005
18780.01,4,0.4,76.25,64.07160000000005
18840.01,4,0.36250000000000004,76.25,63.07160000000005
18900.01,4,0.44,76.25,64.33160000000005
18960.01,4,0.27999999999999997,75.5,63.33160000000006
19020.01,4,0.32,75.75,64.85160000000008
19080.01,4,0.32,75.75,63.851600000000076
19140.01,4,0.32,75.5,65.37160000000007
19200.01,4,0.37000000000000005,76.25,64.37160000000007
19260.01,4,0.5800000000000001,77.0,65.11000000000007
19320.01,4,0.6224999999999999,77.25,64.11000000000007
19380.01,4,0.6225,77.25,64.46560000000008
19440.01,4,0.36250000000000004,76.0,63.46560000000007
19500.01,4,0.28,75.5,65.30560000000008
19560.01,4,0.37000000000000005,76.25,64.30560000000008
19620.01,4,0.48,77.0,65.30560000000008
19680.01,4,0.71,77.75,64.30560000000008
19740.01,4,0.4775,77.0,65.3616000000001
19800.01,4,0.4175,76.5,64.3616000000001
19860.01,4,0.36500000000000005,75.75,65.8816000000001
19920.01,4,0.4,76.25,64.8816000000001
19980.01,4,0.37,75.75,66.27160000000012
20040.01,4,0.32,75.75,65.2716000000001
20100.01,4,0.48,76.5,66.27160000000012
20160.01,4,0.4,76.25,65.27160000000012
20220.01,4,0.565,76.75,66.00400000000012
20280.01,4,0.44,76.75,65.00400000000012
20340.01,4,0.3625,76.0,66.39400000000012
20400.01,4,0.44,76.75,65.39400000000012
20460.01,4,0.5549999999999999,77.25,66.22240000000012
20520.01,4,0.61,77.25,65.22240000000012
20580.01,4,0.64,77.5,65.93920000000011
20640.01,4,0.5974999999999999,77.25,64.93920000000013
