Time,AverageCPU,Sessions,Pheromone
11100.01,2,1.0,48.0,71.5416000000005
11160.01,2,1.0,49.5,70.5416000000005
11220.01,2,0.9550000000000001,50.5,69.91760000000052
11280.01,2,0.645,51.0,68.91760000000052
11340.01,2,0.625,52.5,69.52960000000053
11400.01,2,0.7250000000000001,53.5,68.52960000000053
11460.01,2,0.7250000000000001,53.5,68.78960000000052
11520.01,2,0.7250000000000001,53.5,67.78960000000052
11580.01,2,0.87,54.0,67.51760000000054
11640.01,2,0.33499999999999996,52.5,66.51760000000054
11700.01,2,0.33499999999999996,52.0,67.98000000000054
11760.01,2,0.48,53.0,66.98000000000054
11820.01,2,0.56,53.0,67.94640000000055
11880.01,2,0.7250000000000001,53.5,66.94640000000055
11940.01,2,0.8049999999999999,53.5,66.91760000000056
12000.01,2,0.8400000000000001,54.0,65.91760000000056
12060.01,2,0.9,55.0,65.50960000000059
12120.01,2,0.7649999999999999,54.0,64.50960000000059
12180.01,2,0.905,54.5,64.08080000000061
12240.01,2,0.78,53.5,63.08080000000061
12300.01,2,0.8,54.5,63.085600000000625
12360.01,2,0.745,54.0,62.085600000000625
12420.01,2,0.385,52.0,63.47040000000062
12480.01,2,0.4,52.5,62.47040000000062
12540.01,2,0.4,52.5,63.727200000000636
12600.01,2,0.48,53.0,62.727200000000636
12660.01,2,0.44000000000000006,53.0,63.96560000000065
12720.01,2,0.7250000000000001,53.0,62.96560000000065
12780.01,2,0.56,53.0,63.93200000000066
12840.01,2,0.645,53.5,62.93200000000066
12900.01,2,0.56,52.5,63.89840000000068
12960.01,2,0.7250000000000001,53.5,62.89840000000068
13020.01,2,0.56,52.5,63.8648000000007
13080.01,2,0.815,54.5,62.8648000000007
13140.01,2,0.845,54.0,62.69200000000071
13200.01,2,0.885,54.5,61.69200000000071
13260.01,2,0.7250000000000001,53.5,61.952000000000716
13320.01,2,0.95,56.0,60.952000000000716
13380.01,2,0.975,56.0,60.24800000000073
13440.01,2,0.975,57.0,59.24800000000073
13500.01,2,0.33,57.5,60.72800000000075
13560.01,2,0.69,59.5,59.72800000000075
13620.01,2,1.0,63.5,58.928000000000765
13680.01,2,1.0,65.5,57.928000000000765
13740.01,2,1.0,67.0,57.12800000000078
13800.01,2,1.0,68.0,56.12800000000078
13860.01,2,0.675,69.0,56.41920000000079
13920.01,2,0.4,70.0,55.41920000000079
13980.01,2,0.5,71.0,56.41920000000079
14040.01,2,0.87,72.0,55.41920000000079
14100.01,2,0.32,70.0,56.93280000000081
14160.01,2,0.255,69.5,55.93280000000081
14220.01,2,0.255,69.5,57.71520000000083
14280.01,2,0.56,71.0,56.71520000000083
14340.01,2,0.7250000000000001,71.5,56.97520000000084
14400.01,2,0.92,72.0,55.97520000000084
14460.01,2,0.92,72.0,55.49520000000085
14520.01,2,1.0,73.5,54.49520000000085
14580.01,2,1.0,74.5,53.69520000000087
14640.01,2,1.0,77.5,52.69520000000087
14700.01,2,1.0,79.0,51.895200000000884
14760.01,2,1.0,81.0,50.895200000000884
14820.01,2,1.0,83.0,50.0952000000009
14880.01,2,1.0,85.0,49.0952000000009
14940.01,2,0.99,85.5,48.327200000000914
15000.01,2,1.0,89.0,47.327200000000914
15060.01,2,1.0,91.0,46.52720000000093
15120.01,2,1.0,93.0,45.52720000000093
15180.01,2,1.0,93.5,44.72720000000095
15240.01,2,0.765,94.0,43.72720000000095
15300.01,2,0.475,95.5,44.72720000000095
15360.01,2,0.8,97.5,43.72720000000095
15420.01,2,0.97,98.5,43.04720000000097
15480.01,2,1.0,100.0,42.04720000000097
15540.01,2,1.0,101.5,41.24720000000099
15600.01,2,1.0,102.5,40.24720000000099
15660.01,2,0.99,103.5,39.48240000000101
15720.01,2,0.425,104.0,38.48240000000101
15780.01,2,0.32,104.0,40.00240000000103
15840.01,2,0.595,106.5,39.00240000000103
15900.01,2,0.735,107.0,39.10240000000104
15960.01,2,0.9,109.0,38.10240000000104
16020.01,2,0.8200000000000001,111.0,38.01920000000105
16080.01,2,0.96,112.5,37.01920000000105
16140.01,2,0.995,113.5,36.24480000000107
16200.01,2,0.99,116.0,35.24480000000107
16260.01,2,0.99,118.0,34.48960000000109
16320.01,2,0.94,119.0,33.48960000000109
16380.01,2,0.6849999999999999,119.5,33.732800000001106
16440.01,2,0.655,121.5,32.732800000001106
16500.01,2,0.775,123.5,32.832800000001114
16560.01,2,1.0,126.0,31.832800000001114
16620.01,2,1.0,128.0,31.03280000000113
16680.01,2,1.0,128.5,30.03280000000113
16740.01,2,0.615,128.5,30.567200000001147
16800.01,2,0.685,131.0,29.567200000001147
16860.01,2,0.98,133.0,28.853600000001165
16920.01,2,0.95,134.0,27.853600000001165
16980.01,2,0.96,135.0,27.22640000000118
17040.01,2,1.0,136.5,26.22640000000118
17100.01,2,0.28500000000000003,136.5,27.8840000000012
17160.01,2,0.545,137.5,26.8840000000012
17220.01,2,0.21000000000000002,137.0,28.84880000000122
17280.01,2,0.32,137.5,27.84880000000122
17340.01,2,0.56,138.5,28.81520000000124
17400.01,2,0.645,139.0,27.81520000000124
17460.01,2,0.8400000000000001,140.0,27.65520000000126
17520.01,2,0.995,143.0,26.65520000000126
17580.01,2,1.0,145.5,25.855200000001275
17640.01,2,1.0,148.5,24.855200000001275
