Time,AverageCPU,Sessions,Pheromone
27540.01,5,0.43800000000000006,120.4,NaN
27600.01,5,0.62,121.6,NaN
27660.01,5,0.304,124.8,NaN
27720.01,5,0.21200000000000002,126.2,NaN
27780.01,5,0.45200000000000007,127.4,NaN
27840.01,5,0.502,128.8,NaN
27900.01,5,0.38000000000000006,129.8,NaN
27960.01,5,0.41600000000000004,131.4,NaN
28020.01,5,0.374,133.0,NaN
28080.01,5,0.366,134.0,NaN
28140.01,5,0.4800000000000001,135.2,NaN
28200.01,5,0.53,137.8,NaN
28260.01,5,0.496,139.0,NaN
28320.01,5,0.438,139.8,NaN
28380.01,5,0.514,141.2,NaN
28440.01,5,0.322,142.6,NaN
28500.01,5,0.398,144.0,NaN
28560.01,5,0.438,145.6,NaN
28620.01,5,0.518,147.0,NaN
28680.01,5,0.442,148.4,NaN
28740.01,5,0.374,150.6,NaN
28800.01,5,0.472,151.0,NaN
28860.01,5,0.3,152.0,NaN
28920.01,5,0.442,153.4,NaN
28980.01,5,0.32999999999999996,154.4,NaN
29040.01,5,0.386,157.0,NaN
29100.01,5,0.46399999999999997,158.2,NaN
29160.01,5,0.44800000000000006,160.6,NaN
29220.01,5,0.54,161.6,NaN
29280.01,5,0.492,163.4,NaN
29340.01,5,0.246,164.8,NaN
29400.01,5,0.316,167.4,NaN
29460.01,5,0.47000000000000003,169.4,NaN
29520.01,5,0.30599999999999994,170.6,NaN
29580.01,5,0.476,171.8,NaN
29640.01,5,0.41200000000000003,172.8,NaN
29700.01,5,0.398,174.0,NaN
29760.01,5,0.43200000000000005,175.2,NaN
29820.01,5,0.364,176.8,NaN
29880.01,5,0.472,178.0,NaN
29940.01,5,0.53,179.4,NaN
30000.01,5,0.45,180.6,NaN
30060.01,5,0.45600000000000007,182.8,NaN
30120.01,5,0.422,183.4,NaN
30180.01,5,0.4800000000000001,184.8,NaN
30240.01,5,0.51,186.2,NaN
30300.01,5,0.31799999999999995,187.4,NaN
30360.01,5,0.392,189.8,NaN
30420.01,5,0.44000000000000006,191.6,NaN
30480.01,5,0.43,193.2,NaN
30540.01,5,0.40800000000000003,194.2,NaN
30600.01,5,0.526,195.8,NaN
30660.01,5,0.426,197.6,NaN
30720.01,5,0.524,199.8,NaN
30780.01,5,0.502,201.0,NaN
30840.01,5,0.37,202.8,NaN
30900.01,5,0.45,204.4,NaN
30960.01,5,0.43600000000000005,205.8,NaN
31020.01,5,0.406,207.4,NaN
31080.01,5,0.40800000000000003,209.6,NaN
31140.01,5,0.42400000000000004,210.4,NaN
31200.01,5,0.388,212.4,NaN
31260.01,5,0.388,213.2,NaN
31320.01,5,0.466,213.4,NaN
31380.01,5,0.41600000000000004,214.6,NaN
31440.01,5,0.568,216.2,NaN
31500.01,5,0.41600000000000004,217.4,NaN
31560.01,5,0.526,219.6,NaN
31620.01,5,0.48,222.4,NaN
31680.01,5,0.41,222.8,NaN
31740.01,5,0.49000000000000005,224.8,NaN
31800.01,5,0.426,226.8,NaN
31860.01,5,0.332,229.2,NaN
31920.01,5,0.41400000000000003,230.8,NaN
31980.01,5,0.484,231.8,NaN
32040.01,5,0.274,234.8,NaN
32100.01,5,0.522,237.4,NaN
32160.01,5,0.26799999999999996,240.2,NaN
32220.01,5,0.48600000000000004,241.8,NaN
32280.01,5,0.31799999999999995,243.2,NaN
32340.01,5,0.388,246.2,NaN
32400.01,5,0.44800000000000006,246.6,NaN
32460.01,5,0.324,249.2,NaN
32520.01,5,0.394,250.6,NaN
32580.01,5,0.458,253.2,NaN
32640.01,5,0.46799999999999997,255.4,NaN
32700.01,5,0.522,257.4,NaN
32760.01,5,0.48200000000000004,258.8,NaN
32820.01,5,0.44600000000000006,259.8,NaN
32880.01,5,0.502,262.8,NaN
32940.01,5,0.5820000000000001,265.8,NaN
33000.01,5,0.372,269.4,NaN
33060.01,5,0.476,271.4,NaN
33120.01,5,0.422,274.0,NaN
33180.01,5,0.442,275.4,NaN
33240.01,5,0.366,278.0,NaN
33300.01,5,0.5519999999999999,280.8,NaN
33360.01,5,0.34199999999999997,283.6,NaN
33420.01,5,0.41600000000000004,287.0,NaN
33480.01,5,0.35,289.4,NaN
33540.01,5,0.502,291.2,NaN
33600.01,5,0.5539999999999999,292.6,NaN
