Time,Servers,AverageCPU,Sessions,Pheromone
143041.01,3,0.3466666666666667,74.0,71.58311111110014
143101.01,3,0.25666666666666665,66.0,71.18399999998894
143161.01,3,0.4666666666666666,66.0,71.58399999998888
143221.01,3,0.5666666666666667,62.0,71.35644444443324
143281.01,3,0.37333333333333335,51.0,70.69688888887767
143341.01,3,0.5833333333333334,56.0,71.41155555554423
143401.01,3,0.4033333333333333,56.0,71.64799999998854
143461.01,3,0.4033333333333333,63.0,71.02666666665517
143521.01,3,0.48666666666666664,63.0,69.6933333333218
143581.01,3,0.45,64.0,70.30133333332164
143641.01,3,0.44,63.0,69.7155555555437
143701.01,3,0.3666666666666667,57.0,70.97777777776601
143761.01,3,0.27666666666666667,68.0,71.75111111109929
143821.01,3,0.26333333333333336,76.0,69.11288888887702
143881.01,3,0.32333333333333336,72.0,68.53244444443249
143941.01,3,0.42,75.0,68.32444444443229
144001.01,3,0.6566666666666667,67.0,67.67022222221001
144061.01,3,0.42333333333333334,68.0,68.34044444443232
144121.01,3,0.5833333333333334,65.0,68.04622222221006
144181.01,3,0.45999999999999996,65.0,68.00977777776552
144241.01,3,0.4533333333333333,62.0,69.73511111109875
144301.01,3,0.42333333333333334,60.0,69.35999999998758
144361.01,3,0.39333333333333337,61.0,68.74666666665412
144421.01,3,0.5966666666666667,69.0,66.69155555554288
144481.01,3,0.6333333333333333,64.0,66.09155555554274
144541.01,3,0.5299999999999999,56.0,66.25777777776511
144601.01,3,0.43,57.0,64.97777777776507
144661.01,3,0.37999999999999995,62.0,66.43244444444188
144721.01,3,0.35333333333333333,76.0,65.61288888888623
144781.01,3,0.3833333333333333,78.0,65.22266666666407
144841.01,3,0.47000000000000003,76.0,63.97111111110845
144901.01,3,0.34,71.0,66.10622222221947
144961.01,3,0.3066666666666667,57.0,64.08133333333052
145021.01,3,0.7366666666666667,66.0,64.27955555555276
145081.01,3,0.65,60.0,62.88311111110826
145141.01,3,0.5833333333333334,78.0,61.595111111108224
145201.01,3,0.37999999999999995,77.0,61.179111111108035
145261.01,3,0.4766666666666666,73.0,60.72222222221914
145321.01,3,0.6833333333333332,71.0,61.487555555552284
145381.01,3,0.43,68.0,61.59244444444109
145441.01,3,0.35666666666666663,82.0,62.66977777777428
145501.01,3,0.4833333333333334,79.0,61.77999999999637
145561.01,3,0.25333333333333335,88.0,60.5266666666632
145621.01,3,0.27666666666666667,63.0,63.382666666663816
145681.01,3,0.14666666666666667,55.0,63.38533333333049
145741.01,3,0.6733333333333333,58.0,64.14177777777486
145801.01,3,0.18000000000000002,58.0,64.13644444444141
145861.01,3,0.63,57.0,66.27688888888594
145921.01,3,0.41,61.0,64.15244444444143
