Time,Servers,AverageCPU,Sessions,Pheromone
13500.01,5,0.426,10.0,NaN
13560.01,5,0.4,10.0,NaN
13620.01,5,0.458,11.0,NaN
13680.01,5,0.5,12.0,NaN
13740.01,5,0.454,11.0,NaN
13800.01,5,0.27,5.0,NaN
13860.01,5,0.27,5.0,NaN
13920.01,4,0.28,5.0,NaN
13980.01,4,0.3775,7.0,NaN
14040.01,4,0.39249999999999996,8.0,NaN
14100.01,4,0.4575,9.0,NaN
14160.01,4,0.43,8.0,NaN
14220.01,4,0.6074999999999999,13.0,NaN
14280.01,4,0.6,14.0,NaN
14340.01,4,0.61,13.0,NaN
14400.01,4,0.595,12.0,NaN
14460.01,4,0.6174999999999999,13.0,NaN
14520.01,4,0.6174999999999999,13.0,NaN
14580.01,4,0.555,10.0,NaN
14640.01,4,0.5,11.0,NaN
14700.01,4,0.5,10.0,NaN
14760.01,4,0.43,8.0,NaN
14820.01,4,0.57,13.0,NaN
14880.01,5,0.46399999999999997,12.0,NaN
14940.01,5,0.5579999999999999,15.0,NaN
15000.01,5,0.33,15.0,NaN
15060.01,5,0.26999999999999996,12.0,NaN
15120.01,5,0.454,13.0,NaN
15180.01,5,0.39799999999999996,9.0,NaN
15240.01,5,0.36,8.0,NaN
15300.01,5,0.242,4.0,NaN
15360.01,5,0.21600000000000003,4.0,NaN
15420.01,4,0.2825,5.0,NaN
15480.01,4,0.35,6.0,NaN
15540.01,4,0.3975,8.0,NaN
15600.01,4,0.4725,10.0,NaN
15660.01,4,0.5,9.0,NaN
15720.01,4,0.5349999999999999,11.0,NaN
15780.01,4,0.74,16.0,NaN
15840.01,5,0.516,15.0,NaN
15900.01,5,0.472,17.0,NaN
15960.01,5,0.55,17.0,NaN
16020.01,5,0.422,14.0,NaN
16080.01,5,0.38,15.0,NaN
16140.01,5,0.28,10.0,NaN
16200.01,5,0.40199999999999997,12.0,NaN
16260.01,5,0.49799999999999994,17.0,NaN
16320.01,5,0.406,15.0,NaN
16380.01,5,0.372,12.0,NaN
16440.01,5,0.418,12.0,NaN
16500.01,5,0.388,9.0,NaN
16560.01,5,0.30599999999999994,7.0,NaN
16620.01,5,0.296,5.0,NaN
16680.01,5,0.32799999999999996,7.0,NaN
16740.01,5,0.41800000000000004,11.0,NaN
16800.01,5,0.508,13.0,NaN
16860.01,5,0.546,13.0,NaN
16920.01,5,0.5399999999999999,13.0,NaN
16980.01,5,0.5559999999999999,14.0,NaN
17040.01,5,0.5780000000000001,13.0,NaN
17100.01,5,0.534,12.0,NaN
17160.01,5,0.5,12.0,NaN
17220.01,5,0.446,9.0,NaN
17280.01,5,0.366,8.0,NaN
17340.01,5,0.366,8.0,NaN
17400.01,5,0.48599999999999993,13.0,NaN
17460.01,5,0.5439999999999999,14.0,NaN
17520.01,5,0.48599999999999993,12.0,NaN
17580.01,5,0.394,9.0,NaN
17640.01,5,0.354,8.0,NaN
17700.01,5,0.3,7.0,NaN
17760.01,5,0.392,10.0,NaN
17820.01,5,0.348,8.0,NaN
17880.01,5,0.344,8.0,NaN
17940.01,5,0.46799999999999997,11.0,NaN
18000.01,5,0.434,11.0,NaN
18060.01,5,0.43,10.0,NaN
18120.01,5,0.45199999999999996,11.0,NaN
18180.01,5,0.42400000000000004,10.0,NaN
18240.01,5,0.418,9.0,NaN
18300.01,5,0.39799999999999996,9.0,NaN
18360.01,5,0.42400000000000004,10.0,NaN
18420.01,5,0.458,11.0,NaN
18480.01,5,0.42800000000000005,11.0,NaN
18540.01,5,0.386,9.0,NaN
18600.01,5,0.386,9.0,NaN
18660.01,5,0.39,10.0,NaN
18720.01,5,0.388,10.0,NaN
18780.01,5,0.43999999999999995,11.0,NaN
18840.01,5,0.458,10.0,NaN
18900.01,5,0.578,14.0,NaN
18960.01,5,0.32199999999999995,17.0,NaN
19020.01,5,0.522,15.0,NaN
19080.01,5,0.492,14.0,NaN
19140.01,5,0.41600000000000004,10.0,NaN
19200.01,5,0.502,12.0,NaN
19260.01,5,0.41999999999999993,10.0,NaN
19320.01,5,0.308,7.0,NaN
19380.01,5,0.664,16.0,NaN
19440.01,5,0.5419999999999999,14.0,NaN
19500.01,5,0.5479999999999999,14.0,NaN
19560.01,5,0.398,9.0,NaN
19620.01,5,0.33799999999999997,8.0,NaN
19680.01,5,0.36,8.0,NaN
19740.01,5,0.404,10.0,NaN
19800.01,5,0.43,11.0,NaN
19860.01,5,0.458,11.0,NaN
19920.01,5,0.6219999999999999,17.0,NaN
19980.01,5,0.47400000000000003,16.0,NaN
20040.01,5,0.48200000000000004,15.0,NaN
20100.01,5,0.628,17.0,NaN
20160.01,5,0.308,12.0,NaN
20220.01,5,0.26,10.0,NaN
20280.01,5,0.248,8.0,NaN
20340.01,5,0.302,6.0,NaN
20400.01,5,0.43,10.0,NaN
20460.01,5,0.48600000000000004,12.0,NaN
20520.01,5,0.286,15.0,NaN
20580.01,5,0.528,17.0,NaN
20640.01,5,0.524,16.0,NaN
20700.01,5,0.28600000000000003,10.0,NaN
20760.01,5,0.31000000000000005,9.0,NaN
20820.01,5,0.362,8.0,NaN
20880.01,5,0.404,10.0,NaN
20940.01,5,0.458,11.0,NaN
21000.01,5,0.542,14.0,NaN
21060.01,5,0.702,19.0,NaN
21120.01,5,0.45199999999999996,17.0,NaN
21180.01,5,0.43999999999999995,15.0,NaN
21240.01,5,0.186,9.0,NaN
21300.01,5,0.23399999999999999,5.0,NaN
21360.01,5,0.288,5.0,NaN
21420.01,5,0.33399999999999996,7.0,NaN
21480.01,5,0.5079999999999999,13.0,NaN
21540.01,5,0.45999999999999996,17.0,NaN
21600.01,5,0.6540000000000001,21.0,NaN
21660.01,5,0.548,19.0,NaN
21720.01,5,0.39,24.0,NaN
21780.01,5,0.322,21.0,NaN
21840.01,5,0.39,20.0,NaN
21900.01,5,0.396,20.0,NaN
21960.01,5,0.43,15.0,NaN
